,name,struct,addr,lat,lon
25008,"Муниципальное общеобразовательное учреждение ""Вечерняя (сменная) общеобразовательная школа № 5""",(Муниципальное образовательное учреждение),"654027, Кемеровская область, Кемеровской области, г. Новокузнецк, пр. Пионерский, 4,",53.76053,87.10434
25009,"Муниципальное общеобразовательное учреждение "" Начальная общеобразовательная школа № 110""",(Муниципальное образовательное учреждение),"654018, Кемеровская область, г. Новокузнецк, ул. Дружбы, 42а",53.71176,87.13987
25010,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная гимназия № 48""",(Муниципальное образовательное учреждение),"654066, Кемеровская область, г. Новокузнецк, ул Дружбы, 53а",53.71242,87.14324
25011,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 52""",(Муниципальное образовательное учреждение),"654005, Кемеровская область, г. Новокузнецк, ул Ушинского, 5",53.766,87.11506
25031,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 105""",(Муниципальное образовательное учреждение),"654007, Кемеровская область, г. Новокузнецк, пр. Кузнецкстроевский, 16",53.762,87.13527
25034,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 16""",(Муниципальное образовательное учреждение),"654101, Кемеровская область, г. Новокузнецк, р.п Абагур, ул Громовой, 61",53.73622,87.24571
25036,"Муниципальное общеобразовательное учреждение ""Гимназия № 62""",(Муниципальное образовательное учреждение),"654007, Кемеровская область, г. Новокузнецк, ул. Тольятти, 39",53.7486404,87.1627263
25056,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 92""",(Муниципальное образовательное учреждение),"654029, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Вокзальная, 29",53.74491,87.11303
25071,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 98""",(Муниципальное образовательное учреждение),"654027, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Сибиряков Гвардейцев, 16",53.75192,87.09605
25073,"Муниципальное общеобразовательное учреждение ""Основная общеобразовательная школа № 45""",(Муниципальное образовательное учреждение),"654014, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Литейная, 37",53.71046,87.10538
25075,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 69""",(Муниципальное образовательное учреждение),"654102, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Эксковаторная, 4,",53.67631,86.95726
25076,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 1""",(Муниципальное образовательное учреждение),"654045, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Пролетарская, 81,",53.7383981,87.1180201
25077,"Муниципальное общеобразовательное учреждение ""Лицей № 47""",(Муниципальное образовательное учреждение),"654063, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. В. Соломиной, 12,",53.747,87.04898
25078,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 54""",(Муниципальное образовательное учреждение),"654063, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. К Маркса, 10",53.74949,87.05882
25079,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная гимназия № 44""",(Муниципальное образовательное учреждение),"654080, Кемеровская область, г. Новокузнецк, ул Кирова, 79",53.75967,87.15801
25080,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 8""",(Муниципальное образовательное учреждение),"654027, Кемеровская область, Кемеровской области, г. Новокузнецк, ул. Куйбышева, 4",53.75745,87.10135
25081,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 31""",(Муниципальное образовательное учреждение),"654018, Кемеровская область, г. Новокузнецк, пр. Октябрьский, 24а",53.74927,87.14312
25082,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 101""",(Муниципальное образовательное учреждение),"654041, Кемеровская область, г. Новокузнецк, ул. Дружбы, 42а",53.71176,87.13987
25083,"Муниципальное общеобразовательное учреждение ""Лицей № 34""",(Муниципальное образовательное учреждение),"654018, Кемеровская область, г. Новокузнецк, ул. Циолковского, 65",53.75549,87.14683
25101,"Муниципальное общеобразовательное учреждение ""Специальная (коррекционная) начальная школа-детский сад № 260 ( IV вида).",(Муниципальное образовательное учреждение),"654054, Кемеровская область, г. Новокузнецк, ул. Новосёлов, 63.",53.89833,87.13869
25113,"Муниципальное общеобразовательное учреждение ""Специальная (коррекционная) начальная школа-детский сад № 225 (IV вида)",(Муниципальное образовательное учреждение),"654041, Кемеровская область, г. Новокузнецк, ул. Транспортная, 57А.",53.74273,87.13265
25123,"Муниципальное общеобразовательное учреждение ""Специальная (коррекционная) начальная школа-детский сад № 10 ( V вида).",(Муниципальное образовательное учреждение),"654080, Кемеровская область, г. Новокузнецк, ул. Кирова, 99А.",53.75925,87.16095
25125,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 97""",(Муниципальное образовательное учреждение),"654005, Кемеровская область, г. Новокузнецк, ул Покрышкина, 18",53.76689,87.12077
25128,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 26""",(Муниципальное образовательное учреждение),"654007, Кемеровская область, г. Новокузнецк, пр. Пионерский, 36",53.76003,87.12898
25130,"Муниципальное образовательное учреждение""Средняя общеобразовательная школа № 18""",(Муниципальное образовательное учреждение),"654059, Кемеровская область, г. Новокузнецк, ул. Клименко, 36а",53.82306,87.15549
25151,Муниципальное общеобразовательное учреждение Средняя общеобразовательная школа № 72 с углубленным изучением англ. Языка,(Муниципальное образовательное учреждение),"654080, Кемеровская область, г. Новокузнецк, ул. Свердлова, 10",53.75965,87.1431
25153,"Муниципальное общеобразовательное учреждение ""Гимназия № 17 им. В.П. Чкалова",(Муниципальное образовательное учреждение),"654041, Кемеровская область, г. Новокузнецк, ул. Кутузова, 44а",53.7477,87.12767
25155,"Муниципальное образовательное учреждение""Средняя общеобразовательная школа № 13""",(Муниципальное образовательное учреждение),"654011, Кемеровская область, г. Новокузнецк, ул. Новоселов, 19",53.89544,87.12151
25158,"Муниципальное образовательное учреждение""Лицей № 84""",(Муниципальное образовательное учреждение),"654079, Кемеровская область, г. Новокузнецк, ул. Кулакова 3",53.75339,87.11388
25181,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 103""",(Муниципальное образовательное учреждение),"654066, Кемеровская область, г. Новокузнецк, ул. Тольятти, 3",53.74892,87.15908
25182,Муниципальное общеобразовательное учреждение Средняя общеобразовательная школа № 67,(Муниципальное образовательное учреждение),"654041, Кемеровская область, г. Новокузнецк, ул. Тольятти, 52",53.76159,87.15112
25185,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 4 ""Центр открытого непрерывного образования""",(Муниципальное образовательное учреждение),"654018, Кемеровская область, г. Новокузнецк, ул. Тольятти, 30а",53.75454,87.15772
25191,"Муниципальное специальное (коррекционное) образовательное учреждение для обучающихся, воспитанников с отклонениями в развитии ""Специальная (коррекционная) общеобразовательная школа - интернат № 20"" VIII вида",(Муниципальное образовательное учреждение),"654005, Кемеровская область, г. Новокузнецк, ул.Пирогова, 7",53.76554,87.1109
25193,"Муниципальное образовательное учреждение для детей - сирот и детей, оставшихся без попечения родителей ""Детский дом - школа № 74""",(Муниципальное образовательное учреждение),"654027, Кемеровская область, г. Новокузнецк, пр. Пионерский, 7",53.76101,87.1061
25194,"Муниципальное образовательное учреждениедля детей-сирот и детей, оставшихся без попечения родителей ""Детский дом № 3""",(Муниципальное образовательное учреждение),"654080, Кемеровская область, г. Новокузнецк, ул. Тольятти, 40",53.76037,87.15158
25195,"Муниципальное образовательное учреждениедля детей-сирот и детей, оставшихся без попечения родителей ""Детский дом № 5""",(Муниципальное образовательное учреждение),"654007, Кемеровская область, г. Новокузнецк, ул. Спартака, 19",53.76201,87.12541
25218,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 55""",(Муниципальное образовательное учреждение),"654066, Кемеровская область, г. Новокузнецк, ул. Грдины, 6",53.75156,87.16682
25221,"Муниципальное общеобразовательное учреждение ""Вечерняя (сменная) общеобразовательная школа № 1",(Муниципальное образовательное учреждение),"654005, Кемеровская область, г. Новокузнецк, пер. Колхозный, 22",53.76707,87.10789
25224,"Муниципальное образовательное учреждение""Средняя общеобразовательная школа № 90""",(Муниципальное образовательное учреждение),"654063, Кемеровская область, г. Новокузнецк, ул. Челюскина, 16",53.74761,87.07144
25225,"Муниципальное образовательное учреждение""Специальная (коррекционная) образовательная школа-интернат № 66 для детей сирот и детей, оставшихся без попечения родителей с отклонениями в развитии VIII вида""",(Муниципальное образовательное учреждение),"654029, Кемеровская область, г. Новокузнецк, ул. Всесторнняя, 46",53.74038,87.11003
25227,"Муниципальное образовательное учреждениедля детей-сирот и детей, оставшихся без попечения родителей ""Детский дом № 1""",(Муниципальное образовательное учреждение),"654034, Кемеровская область, г. Новокузнецк, ул. Обнорского, 13",53.77497,87.2063
25229,"Муниципальное образовательное учреждение""Средняя общеобразовательная школа № 49""",(Муниципальное образовательное учреждение),"654059, Кемеровская область, г. Новокузнецк, ул. 40лет ВЛКСМ, 76а",53.82393,87.1679
25244,"МБ НОУ ""Лицей № 11""",(Муниципальное образовательное учреждение),"Кемеровская область, г. Новокузнецк, ул. Коммунаров 5",53.77839,87.2708
25272,"Муниципальное общеобразовательное учреждение ""Средняя общеобразовательная школа № 28""",(Муниципальное образовательное учреждение),"6540013, Кемеровская область, г. Новокузнецк, ул.Тузовского, 17",53.80075,87.37851
25279,"Нетиповое муниципальное общеобразовательное учреждение ""Лицей № 111""",(Муниципальное образовательное учреждение),"654007, Кемеровская область, г. Новокузнецк, ул.Кирова, 35",53.75805,87.12862
